1.1.7.01.01.01.001;Aspal
1.1.7.01.01.01.002;Semen
1.1.7.01.01.01.003;Kaca
1.1.7.01.01.01.004;Pasir
1.1.7.01.01.01.005;Batu
1.1.7.01.01.01.006;Cat
1.1.7.01.01.01.007;Seng
1.1.7.01.01.01.008;Baja
1.1.7.01.01.01.009;Electro Dalas
1.1.7.01.01.01.010;Patok Beton
1.1.7.01.01.01.011;Tiang Beton
1.1.7.01.01.01.012;Besi Beton
1.1.7.01.01.01.013;Tegel
1.1.7.01.01.01.014;Genteng
1.1.7.01.01.01.015;Bis Beton
1.1.7.01.01.01.016;Plat
1.1.7.01.01.01.017;Steel Sheet Pile
1.1.7.01.01.01.018;Concrete Sheet Pile
1.1.7.01.01.01.019;Kawat Bronjong
1.1.7.01.01.01.020;Karung
1.1.7.01.01.01.021;Minyak Cat/Thinner
1.1.7.01.01.01.022;Bahan Bangunan Dan Konstruksi Lainnya
1.1.7.01.01.02.001;Bahan Kimia Padat
1.1.7.01.01.02.002;Bahan Kimia Cair
1.1.7.01.01.02.003;Bahan Kimia Gas
1.1.7.01.01.02.004;Bahan Kimia Nuklir
1.1.7.01.01.02.005;Bahan Kimia Lainnya
1.1.7.01.01.03.001;Anfo
1.1.7.01.01.03.002;Detonator
1.1.7.01.01.03.003;Dinamit
1.1.7.01.01.03.004;Gelatine
1.1.7.01.01.03.005;Sumbu Ledak/Api
1.1.7.01.01.03.006;Amunisi
1.1.7.01.01.03.007;Bahan Peledak Lainnya
1.1.7.01.01.04.001;Bahan Bakar Minyak
1.1.7.01.01.04.002;Minyak Pelumas
1.1.7.01.01.04.003;Minyak Hydrolis
1.1.7.01.01.04.004;Bahan Bakar Gas
1.1.7.01.01.04.005;Batubara
1.1.7.01.01.04.006;Bahan Bakar Dan Pelumas Lainnya
1.1.7.01.01.05.001;Kawat
1.1.7.01.01.05.002;Kayu
1.1.7.01.01.05.003;Logam/Metalorgi
1.1.7.01.01.05.004;Latex
1.1.7.01.01.05.005;Biji Plastik
1.1.7.01.01.05.006;Karet (Bahan Baku)
1.1.7.01.01.05.007;Bahan Baku Lainnya
1.1.7.01.01.06.001;Uranium - 233
1.1.7.01.01.06.002;Uranium - 235
1.1.7.01.01.06.003;Uranium - 238
1.1.7.01.01.06.004;Plutonium (Pu)
1.1.7.01.01.06.005;Neptarim (Np)
1.1.7.01.01.06.006;Uranium Dioksida
1.1.7.01.01.06.007;Thorium
1.1.7.01.01.06.008;Bahan Kimia Nuklir Lainnya
1.1.7.01.01.07.001;Barang Dalam Proses
1.1.7.01.01.07.002;Barang Dalam Proses Lainnya
1.1.7.01.01.08.001;Bahan/Bibit Tanaman Pertanian
1.1.7.01.01.08.002;Bahan/Bibit Tanaman Perkebunan
1.1.7.01.01.08.003;Bahan/Bibit Tanaman Lainnya
1.1.7.01.01.09.001;Isi Tabung Pemadam Kebakaran 3 Kg Abc Powder
1.1.7.01.01.09.002;Isi Tabung Pemadam Kebakaran Lainnya
1.1.7.01.01.10.001;Isi Tabung Gas Oksigen
1.1.7.01.01.10.002;Isi Tabung Gas Elpiji
1.1.7.01.01.10.003;Isi Tabung Gas Lainnya
1.1.7.01.01.11.001;Bahan/Bibit Ternak
1.1.7.01.01.11.002;Bahan/Bibit Ikan
1.1.7.01.01.11.003;Bahan/Bibit Ternak/Bibit Ikan Lainnya
1.1.7.01.01.12.001;Bahan Lainnya
1.1.7.01.02.01.001;Suku Cadang Alat Angkutan Darat Bermotor
1.1.7.01.02.01.002;Suku Cadang Alat Angkutan Darat Tak Bermotor
1.1.7.01.02.01.003;Suku Cadang Alat Angkutan Apung Bermotor
1.1.7.01.02.01.004;Suku Cadang Alat Angkutan Apung Tak Bermotor
1.1.7.01.02.01.005;Suku Cadang Alat Angkutan Udara Bermotor
1.1.7.01.02.01.006;Suku Cadang Alat Angkutan Lainnya
1.1.7.01.02.02.001;Suku Cadang Alat Besar Darat
1.1.7.01.02.02.002;Suku Cadang Alat Besar Apung
1.1.7.01.02.02.003;Suku Cadang Alat Besar Bantu
1.1.7.01.02.02.004;Suku Cadang Alat Besar Lainnya
1.1.7.01.02.03.001;Suku Cadang Alat Kedokteran Umum
1.1.7.01.02.03.002;Suku Cadang Alat Kedokteran Gigi
1.1.7.01.02.03.003;Suku Cadang Alat Kedokteran Keluarga Berencana
1.1.7.01.02.03.004;Suku Cadang Alat Kedokteran Bedah
1.1.7.01.02.03.005;Suku Cadang Alat Kedokteran Kebidanan Dan Penyakit Kandungan
1.1.7.01.02.03.006;Suku Cadang Alat Kedokteran Tht
1.1.7.01.02.03.007;Suku Cadang Alat Kedokteran Mata
1.1.7.01.02.03.008;Suku Cadang Alat Kedokteran Penyakit Dalam
1.1.7.01.02.03.009;Suku Cadang Alat Kedokteran Alat Kesehatan Anak
1.1.7.01.02.03.010;Suku Cadang Alat Kedokteran Poliklinik Set
1.1.7.01.02.03.011;Suku Cadang Alat Kedokteran Untuk Penderita Cacat Tubuh
1.1.7.01.02.03.012;Suku Cadang Alat Kedokteran Syaraf
1.1.7.01.02.03.013;Suku Cadang Alat Kedokteran Jantung
1.1.7.01.02.03.014;Suku Cadang Alat Kedokteran Nuklir
1.1.7.01.02.03.015;Suku Cadang Alat Kedokteran Radiologi
1.1.7.01.02.03.016;Suku Cadang Alat Kedokteran Kulit Dan Kelamin
1.1.7.01.02.03.017;Suku Cadang Alat Kedokteran Ugd
1.1.7.01.02.03.018;Suku Cadang Alat Kedokteran Hematologi
1.1.7.01.02.03.019;Suku Cadang Alat Kedokteran Hewan
1.1.7.01.02.03.020;Suku Cadang Alat Kedokteran Lainnya
1.1.7.01.02.04.001;Suku Cadang Alat Laboratorium Kimia Air Taknik Penyehatan
1.1.7.01.02.04.002;Suku Cadang Alat Laboratorium Micro Biologi Penyehatan
1.1.7.01.02.04.003;Suku Cadang Alat Laboratorium Hidro Kimia
1.1.7.01.02.04.004;Suku Cadang Alat Laboratorium Model Hidrolika
1.1.7.01.02.04.005;Suku Cadang Alat Laboratorium Batuan/Geologi
1.1.7.01.02.04.006;Suku Cadang Alat Laboratorium Bahan Bangunan Konstruksi
1.1.7.01.02.04.007;Suku Cadang Alat Laboratorium Aspal, Cat Dan Kimia
1.1.7.01.02.04.008;Suku Cadang Alat Laboratorium Mekanika Tanah Dan Batuan
1.1.7.01.02.04.009;Suku Cadang Alat Laboratorium Cocok Tanam
1.1.7.01.02.04.010;Suku Cadang Alat Laboratorium Logam, Mesin Dan Listrik
1.1.7.01.02.04.011;Suku Cadang Alat Laboratorium Umum
1.1.7.01.02.04.012;Suku Cadang Alat Laboratorium Microbiologi
1.1.7.01.02.04.013;Suku Cadang Alat Laboratorium Kimia
1.1.7.01.02.04.014;Suku Cadang Alat Laboratorium Patologi
1.1.7.01.02.04.015;Suku Cadang Alat Laboratorium Immunologi
1.1.7.01.02.04.016;Suku Cadang Alat Laboratorium Film
1.1.7.01.02.04.017;Suku Cadang Alat Laboratorium Radio
1.1.7.01.02.04.018;Suku Cadang Alat Laboratorium Makanan
1.1.7.01.02.04.019;Suku Cadang Alat Laboratorium Aero Dinamika
1.1.7.01.02.04.020;Suku Cadang Alat Laboratorium Standarisasi Kaliberasi Dan Instrumen Lainnya
1.1.7.01.02.04.021;Suku Cadang Alat Laboratorium Farmasi
1.1.7.01.02.04.022;Suku Cadang Alat Laboratorium Pemantauan Kualitas Udara
