5.1.01.01.01.0001;Belanja Gaji Pokok PNS
5.1.01.01.01.0002;Belanja Gaji Pokok PPPK
5.1.01.01.02.0001;Belanja Tunjangan Keluarga PNS
5.1.01.01.02.0002;Belanja Tunjangan Keluarga PPPK
5.1.01.01.03.0001;Belanja Tunjangan Jabatan PNS
5.1.01.01.03.0002;Belanja Tunjangan Jabatan PPPK
5.1.01.01.04.0001;Belanja Tunjangan Fungsional PNS
5.1.01.01.04.0002;Belanja Tunjangan Fungsional PPPK
5.1.01.01.05.0001;Belanja Tunjangan Fungsional Umum PNS
5.1.01.01.05.0002;Belanja Tunjangan Fungsional Umum PPPK
5.1.01.01.06.0001;Belanja Tunjangan Beras PNS
5.1.01.01.06.0002;Belanja Tunjangan Beras PPPK
5.1.01.01.07.0001;Belanja Tunjangan PPh/Tunjangan Khusus PNS
5.1.01.01.07.0002;Belanja Tunjangan PPh/Tunjangan Khusus PPPK
5.1.01.01.08.0001;Belanja Pembulatan Gaji PNS
5.1.01.01.08.0002;Belanja Pembulatan Gaji PPPK
5.1.01.01.09.0001;Belanja Iuran Jaminan Kesehatan PNS
5.1.01.01.09.0002;Belanja Iuran Jaminan Kesehatan PPPK
5.1.01.01.10.0001;Belanja Iuran Jaminan Kecelakaan Kerja PNS
5.1.01.01.10.0002;Belanja Iuran Jaminan Kecelakaan Kerja PPPK
5.1.01.01.11.0001;Belanja Iuran Jaminan Kematian PNS
5.1.01.01.11.0002;Belanja Iuran Jaminan Kematian PPPK
5.1.01.01.12.0001;Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PNS
5.1.01.01.12.0002;Belanja Iuran Simpanan Peserta Tabungan Perumahan Rakyat PPPK
5.1.01.01.13.0001;Belanja Jaminan Hari Tua PNS
5.1.01.01.13.0002;Belanja Jaminan Hari Tua PPPK
5.1.01.01.14.0001;Belanja Tunjangan Khusus
5.1.01.02.01.0001;Tambahan Penghasilan berdasarkan Beban Kerja PNS
5.1.01.02.01.0002;Tambahan Penghasilan berdasarkan Beban Kerja PPPK
5.1.01.02.02.0001;Tambahan Penghasilan berdasarkan Tempat Bertugas PNS
5.1.01.02.02.0002;Tambahan Penghasilan berdasarkan Tempat Bertugas PPPK
5.1.01.02.03.0001;Tambahan Penghasilan berdasarkan Kondisi Kerja PNS
5.1.01.02.03.0002;Tambahan Penghasilan berdasarkan Kondisi Kerja PPPK
5.1.01.02.04.0001;Tambahan Penghasilan berdasarkan Kelangkaan Profesi PNS
5.1.01.02.04.0002;Tambahan Penghasilan berdasarkan Kelangkaan Profesi PPPK
5.1.01.02.05.0001;Tambahan Penghasilan berdasarkan Prestasi Kerja PNS
5.1.01.02.05.0002;Tambahan Penghasilan berdasarkan Prestasi Kerja PPPK
5.1.01.03.01.0001;Belanja Insentif bagi ASN atas Pemungutan Pajak Kendaraan Bermotor
5.1.01.03.01.0002;Belanja Insentif bagi ASN atas Pemungutan Bea Balik Nama Kendaraan Bermotor
5.1.01.03.01.0003;Belanja Insentif bagi ASN atas Pemungutan Pajak Bahan Bakar Kendaraan Bermotor
5.1.01.03.01.0004;Belanja Insentif bagi ASN atas Pemungutan Pajak Air Permukaan
5.1.01.03.01.0005;Belanja Insentif bagi ASN atas Pemungutan Pajak Rokok
5.1.01.03.01.0006;Belanja Insentif bagi ASN atas Pemungutan Pajak Hotel
5.1.01.03.01.0007;Belanja Insentif bagi ASN atas Pemungutan Pajak Restoran
5.1.01.03.01.0008;Belanja Insentif bagi ASN atas Pemungutan Pajak Hiburan
5.1.01.03.01.0009;Belanja Insentif bagi ASN atas Pemungutan Pajak Reklame
5.1.01.03.01.0010;Belanja Insentif bagi ASN atas Pemungutan Pajak Penerangan Jalan
5.1.01.03.01.0011;Belanja Insentif bagi ASN atas Pemungutan Pajak Parkir
5.1.01.03.01.0012;Belanja Insentif bagi ASN atas Pemungutan Pajak Air Tanah
5.1.01.03.01.0013;Belanja Insentif bagi ASN atas Pemungutan Pajak Sarang Burung Walet
5.1.01.03.01.0014;Belanja Insentif bagi ASN atas Pemungutan Pajak Mineral Bukan Logam dan Batuan
5.1.01.03.01.0015;Belanja Insentif bagi ASN atas Pemungutan Pajak Bumi Dan Bangunan Pedesaan Dan Perkotaan
5.1.01.03.01.0016;Belanja Insentif bagi ASN atas Pemungutan Bea Perolehan Hak atas Tanah dan Bangunan
5.1.01.03.02.0001;Belanja Insentif bagi ASN atas Pemungutan Retribusi Jasa Umum-Pelayanan Kesehatan
5.1.01.03.02.0002;Belanja Insentif bagi ASN atas Pemungutan Retribusi Jasa Umum-Pelayanan Persampahan/Kebersihan
5.1.01.03.02.0003;Belanja Insentif Pemungutan Retribusi Jasa Umum-Pelayanan Pemakaman dan Pengabuan Mayat bagi ASN
5.1.01.03.02.0004;Belanja Insentif bagi ASN atas Pemungutan Retribusi Jasa Umum-Pelayanan Parkir di Tepi Jalan Umum
5.1.01.03.02.0005;Belanja Insentif bagi ASN atas Pemungutan Retribusi Jasa Umum-Pelayanan Pasar
5.1.01.03.02.0006;Belanja Insentif bagi ASN atas Pemungutan Retribusi Jasa Umum-Pengujian Kendaraan Bermotor
5.1.01.03.02.0007;Belanja Insentif bagi ASN atas Pemungutan Retribusi Jasa Umum-Pemeriksaan Alat Pemadam Kebakaran
5.1.01.03.02.0008;Belanja Insentif bagi ASN atas Pemungutan Retribusi Jasa Umum-Penggantian Biaya Cetak Peta
